Train dataset length: 8000, Test dataset length: 2000
Epoch 1/200, Train loss: 84.0799, Test loss: 1.5006, Time: 4.97s
Epoch 2/200, Train loss: 1.0542, Test loss: 0.4706, Time: 0.18s
Epoch 3/200, Train loss: 0.2902, Test loss: 0.2286, Time: 0.22s
Epoch 4/200, Train loss: 0.2312, Test loss: 0.2188, Time: 0.18s
Epoch 5/200, Train loss: 0.2220, Test loss: 0.2109, Time: 0.24s
Epoch 6/200, Train loss: 0.2107, Test loss: 0.2039, Time: 0.61s
Epoch 7/200, Train loss: 0.2035, Test loss: 0.1944, Time: 0.26s
Epoch 8/200, Train loss: 0.1920, Test loss: 0.1853, Time: 0.25s
Epoch 9/200, Train loss: 0.1810, Test loss: 0.1751, Time: 0.22s
Epoch 10/200, Train loss: 0.1721, Test loss: 0.1628, Time: 0.17s
Epoch 11/200, Train loss: 0.1591, Test loss: 0.1550, Time: 0.17s
Epoch 12/200, Train loss: 0.1527, Test loss: 0.1403, Time: 0.17s
Epoch 13/200, Train loss: 0.1353, Test loss: 0.1437, Time: 0.16s
Epoch 14/200, Train loss: 0.1288, Test loss: 0.1267, Time: 0.18s
Epoch 15/200, Train loss: 0.1203, Test loss: 0.1140, Time: 0.17s
Epoch 16/200, Train loss: 0.1108, Test loss: 0.1120, Time: 0.18s
Epoch 17/200, Train loss: 0.1009, Test loss: 0.0966, Time: 0.16s
Epoch 18/200, Train loss: 0.1021, Test loss: 0.0908, Time: 0.16s
Epoch 19/200, Train loss: 0.0860, Test loss: 0.0710, Time: 0.16s
Epoch 20/200, Train loss: 0.0708, Test loss: 0.0933, Time: 0.17s
Epoch 21/200, Train loss: 0.0678, Test loss: 0.0792, Time: 0.18s
Epoch 22/200, Train loss: 0.0604, Test loss: 0.0660, Time: 0.17s
Epoch 23/200, Train loss: 0.0657, Test loss: 0.0857, Time: 0.16s
Epoch 24/200, Train loss: 0.0654, Test loss: 0.0663, Time: 0.17s
Epoch 25/200, Train loss: 0.0583, Test loss: 0.0650, Time: 0.15s
Epoch 26/200, Train loss: 0.0562, Test loss: 0.0805, Time: 0.18s
Epoch 27/200, Train loss: 0.0640, Test loss: 0.0536, Time: 0.17s
Epoch 28/200, Train loss: 0.0523, Test loss: 0.0595, Time: 0.16s
Epoch 29/200, Train loss: 0.0587, Test loss: 0.0675, Time: 0.16s
Epoch 30/200, Train loss: 0.0518, Test loss: 0.0506, Time: 0.17s
Epoch 31/200, Train loss: 0.0508, Test loss: 0.0686, Time: 0.24s
Epoch 32/200, Train loss: 0.0758, Test loss: 0.0573, Time: 0.16s
Epoch 33/200, Train loss: 0.0559, Test loss: 0.0635, Time: 0.17s
Epoch 34/200, Train loss: 0.0517, Test loss: 0.0502, Time: 0.17s
Epoch 35/200, Train loss: 0.0552, Test loss: 0.0516, Time: 0.16s
Epoch 36/200, Train loss: 0.0566, Test loss: 0.0558, Time: 0.18s
Epoch 37/200, Train loss: 0.0518, Test loss: 0.0511, Time: 0.16s
Epoch 38/200, Train loss: 0.0507, Test loss: 0.0505, Time: 0.16s
Epoch 39/200, Train loss: 0.0538, Test loss: 0.0532, Time: 0.17s
Epoch 40/200, Train loss: 0.0549, Test loss: 0.0633, Time: 0.16s
Epoch 41/200, Train loss: 0.0515, Test loss: 0.0718, Time: 0.18s
Epoch 42/200, Train loss: 0.0688, Test loss: 0.0703, Time: 0.17s
Epoch 43/200, Train loss: 0.0528, Test loss: 0.0498, Time: 0.16s
Epoch 44/200, Train loss: 0.0518, Test loss: 0.0658, Time: 0.17s
Epoch 45/200, Train loss: 0.0591, Test loss: 0.0498, Time: 0.17s
Epoch 46/200, Train loss: 0.0525, Test loss: 0.0533, Time: 0.17s
Epoch 47/200, Train loss: 0.0503, Test loss: 0.0521, Time: 0.16s
