Epoch 1/300, Train loss: 3.0819, Test loss: 2.4060, Time: 2.65s
Epoch 2/300, Train loss: 2.6089, Test loss: 2.2790, Time: 0.12s
Epoch 3/300, Train loss: 2.3891, Test loss: 2.0122, Time: 0.10s
Epoch 4/300, Train loss: 2.0239, Test loss: 1.7922, Time: 0.09s
Epoch 5/300, Train loss: 1.7488, Test loss: 1.6356, Time: 0.08s
Epoch 6/300, Train loss: 1.5793, Test loss: 1.4749, Time: 0.11s
Epoch 7/300, Train loss: 1.5440, Test loss: 1.4834, Time: 0.12s
Epoch 8/300, Train loss: 1.4181, Test loss: 1.2870, Time: 0.09s
Epoch 9/300, Train loss: 1.2384, Test loss: 1.1923, Time: 0.10s
Epoch 10/300, Train loss: 1.2084, Test loss: 1.3297, Time: 0.18s
Epoch 11/300, Train loss: 1.2877, Test loss: 1.2080, Time: 0.11s
Epoch 12/300, Train loss: 1.1656, Test loss: 1.1554, Time: 0.09s
Epoch 13/300, Train loss: 1.0213, Test loss: 1.0225, Time: 0.10s
Epoch 14/300, Train loss: 1.0292, Test loss: 1.0717, Time: 0.09s
Epoch 15/300, Train loss: 1.0116, Test loss: 0.9862, Time: 0.11s
Epoch 16/300, Train loss: 0.8725, Test loss: 0.8437, Time: 0.09s
Epoch 17/300, Train loss: 0.8161, Test loss: 0.8224, Time: 0.10s
Epoch 18/300, Train loss: 0.8713, Test loss: 0.8804, Time: 0.10s
Epoch 19/300, Train loss: 0.8249, Test loss: 0.7739, Time: 0.09s
Epoch 20/300, Train loss: 0.7562, Test loss: 0.9155, Time: 0.17s
Epoch 21/300, Train loss: 0.7732, Test loss: 0.8673, Time: 0.12s
Epoch 22/300, Train loss: 0.7600, Test loss: 0.7488, Time: 0.10s
Epoch 23/300, Train loss: 0.7717, Test loss: 0.9419, Time: 0.08s
Epoch 24/300, Train loss: 0.7809, Test loss: 0.7096, Time: 0.09s
Epoch 25/300, Train loss: 0.6907, Test loss: 0.7509, Time: 0.09s
Epoch 26/300, Train loss: 0.5817, Test loss: 0.6659, Time: 0.08s
Epoch 27/300, Train loss: 0.5731, Test loss: 0.8335, Time: 0.08s
Epoch 28/300, Train loss: 0.6958, Test loss: 0.6268, Time: 0.09s
Epoch 29/300, Train loss: 0.6198, Test loss: 0.5992, Time: 0.09s
Epoch 30/300, Train loss: 0.5706, Test loss: 0.5703, Time: 0.09s
Epoch 31/300, Train loss: 0.6249, Test loss: 0.6053, Time: 0.09s
Epoch 32/300, Train loss: 0.5948, Test loss: 0.6169, Time: 0.09s
Epoch 33/300, Train loss: 0.5469, Test loss: 0.5806, Time: 0.08s
Epoch 34/300, Train loss: 0.5593, Test loss: 0.7726, Time: 0.08s
Epoch 35/300, Train loss: 0.6389, Test loss: 0.6526, Time: 0.09s
Epoch 36/300, Train loss: 0.5782, Test loss: 0.6519, Time: 0.08s
